area,address,number,price,date,property_type,geocode,full_address
Fionn Laoi,Woodview,20,330000,2018-07-12,New Build,"51.89295672639931, -8.577244778805012","20 Woodview, Fionn Laoi"
Maglin,Maglin View,9,386000,2018-07-11,Second-Hand,"51.88135112776452, -8.59523805920491","9 Maglin View, Maglin"
Classis Lake,The Abbey,28,220000,2018-07-10,Second-Hand,"51.88586099008718, -8.62822296864587","28 The Abbey, Classis Lake"
Old Quarter,Coopers Grange,129,395000,2018-07-06,Second-Hand,"51.89008441064981, -8.590014945710507","129 Coopers Grange, Old Quarter"
The Cloisters,The Cloisters,63,280000,2018-07-06,Second-Hand,"51.88453436126935, -8.578108099687265","63 The Cloisters, The Cloisters"
Coolroe,Coolroe Court,4,450775,2018-07-05,New Build,"51.885279789132504, -8.622716969745719","4 Coolroe Court, Coolroe"
The Maltings,Granary Court,21,200000,2018-07-04,Second-Hand,"51.88503727921537, -8.591352822622822","21 Granary Court, The Maltings"
Coolroe,The Lawn,2,277500,2018-11-08,Second-Hand,"51.885279789132504, -8.622716969745719","2 The Lawn, Coolroe"
Maglin,Clincool Gardens,21,320000,2018-11-07,Second-Hand,"51.88135112776452, -8.59523805920491","21 Clincool Gardens, Maglin"
An Caislean,An Caislean,167,247000,2018-11-06,Second-Hand,"51.88419579207018, -8.604721941977742","167 An Caislean, An Caislean"
Powdermills,Powdermill Meadow,5,397250,2018-11-06,New Build,"51.89225015549648, -8.586096438526356","5 Powdermill Meadow, Powdermills"
The Crescent,The Crescent,45,260000,2018-11-05,Second-Hand,"51.88974689003794, -8.592724974545812","45 The Crescent, The Crescent"
Classis Lake,The Brambles,40,311000,2019-06-21,Second-Hand,"51.88586099008718, -8.62822296864587","40 The Brambles, Classis Lake"
Parknamore,Parknamore Heights,43,323475,2019-06-21,New Build,"51.88458744794133, -8.609309161051812","43 Parknamore Heights, Parknamore"
Old Quarter,Coopers Grange,54,290000,2019-06-17,Second-Hand,"51.89008441064981, -8.590014945710507","54 Coopers Grange, Old Quarter"
Old Quarter,Coopers Grange,98,310000,2019-06-17,Second-Hand,"51.89008441064981, -8.590014945710507","98 Coopers Grange, Old Quarter"
Castle Road,Castle Lodge,1,320000,2019-06-17,Second-Hand,"51.88234227885883, -8.59817565735788","1 Castle Lodge, Castle Road"
Old Quarter,Coopers Grange,16,410000,2019-02-14,New Build,"51.89008441064981, -8.590014945710507","16 Coopers Grange, Old Quarter"
Muskerry Estate,Castle Avenue,60,150000,2019-02-05,Second-Hand,"51.885514844369936, -8.596310161258103","60 Castle Avenue, Muskerry Estate"
Town Center,Chapel Lane,1,180000,2019-02-04,Second-Hand,"51.8878563321983, -8.600737381727024","1 Chapel Lane, Town Center"
Old Quarter,Coopers Grange,15,409999,2019-02-04,New Build,"51.89008441064981, -8.590014945710507","15 Coopers Grange, Old Quarter"
Maglin,Glincool Grove,17,225000,2019-02-01,Second-Hand,"51.88135112776452, -8.59523805920491","17 Glincool Grove, Maglin"
The Crescent,The Crescent,37,256000,2019-01-29,Second-Hand,"51.88974689003794, -8.592724974545812","37 The Crescent, The Crescent"
The Crescent,The Crescent,17,275000,2019-01-28,Second-Hand,"51.88974689003794, -8.592724974545812","17 The Crescent, The Crescent"
Westcourt,Westcourt Heights,6,150000,2019-01-25,Second-Hand,"51.88681255417706, -8.616295628522487","6 Westcourt Heights, Westcourt"
Fionn Laoi,Woodview,10,340000,2019-01-21,New Build,"51.89295672639931, -8.577244778805012","10 Woodview, Fionn Laoi"
Greenfields,Fernwalk,70,580000,2019-09-27,Second-Hand,"51.87941701969475, -8.620193493581136","70 Fernwalk, Greenfields"
Castlepark,Castlepark,70,185000,2019-09-25,Second-Hand,"51.88653927567583, -8.585310716875346","70 Castlepark, Castlepark"
Old Quarter,Waltham Abbey,28,339200,2019-09-23,Second-Hand,"51.89008441064981, -8.590014945710507","28 Waltham Abbey, Old Quarter"
Greenfields,Fernwalk,45,169000,2019-09-23,Second-Hand,"51.87941701969475, -8.620193493581136","45 Fernwalk, Greenfields"
Old Quarter,Leslies Arch,148,315000,2019-09-23,Second-Hand,"51.89008441064981, -8.590014945710507","148 Leslies Arch, Old Quarter"
Greenfield,Oldcourt,72,355000,2019-09-20,Second-Hand,"51.88072634468435, -8.611355403381312","72 Oldcourt, Greenfield"
Rosewood,Rosewood,8,306000,2019-09-13,Second-Hand,"51.88865181082447, -8.575978970851866","8 Rosewood, Rosewood"
Carrigrohanebeg,The Willows,200,245000,2019-09-10,Second-Hand,"51.89309917070151, -8.580849757357647","200 The Willows, Carrigrohanebeg"
Fionn Laoi,Woodview,29,330000,2018-06-28,New Build,"51.89295672639931, -8.577244778805012","29 Woodview, Fionn Laoi"
Fionn Laoi,Woodview,26,330000,2018-06-26,New Build,"51.89295672639931, -8.577244778805012","26 Woodview, Fionn Laoi"
Muskerry Estate,Maple Lawn,79,335000,2018-06-12,Second-Hand,"51.885514844369936, -8.596310161258103","79 Maple Lawn, Muskerry Estate"
Old Quarter,Millers Court,109,460000,2018-06-11,New Build,"51.89008441064981, -8.590014945710507","109 Millers Court, Old Quarter"
Steeplewoods,Steeplewoods,1,896650,2018-06-05,New Build,"51.88978058994379, -8.565944853663783","1 Steeplewoods, Steeplewoods"
Old Quarter,Millers Court,110,620000,2018-06-01,New Build,"51.89008441064981, -8.590014945710507","110 Millers Court, Old Quarter"
Greenfield,Tuairin Glas,48,250000,2018-11-01,Second-Hand,"51.88072634468435, -8.611355403381312","48 Tuairin Glas, Greenfield"
Highfield,Highfield Park,31,230000,2018-10-31,Second-Hand,"51.88483134751023, -8.573114016875365","31 Highfield Park, Highfield"
Old Quarter,Millers Court,57,345000,2018-10-31,New Build,"51.89008441064981, -8.590014945710507","57 Millers Court, Old Quarter"
Powdermills,Powdermill Meadow,1,430000,2018-10-26,New Build,"51.89225015549648, -8.586096438526356","1 Powdermill Meadow, Powdermills"
Inniscarra View,Whitethorn Drive,19,290000,2018-10-25,Second-Hand,"51.88901621244116, -8.572065214668026","19 Whitethorn Drive, Inniscarra View"
Maglin,Glincool Crescent,2,376000,2018-10-22,Second-Hand,"51.88135112776452, -8.59523805920491","2 Glincool Crescent, Maglin"
Old Quarter,Leslies Arch,79,375000,2018-10-19,Second-Hand,"51.89008441064981, -8.590014945710507","79 Leslies Arch, Old Quarter"
Inniscarra View,Whitethorn Avenue,13,300000,2019-12-17,Second-Hand,"51.88901621244116, -8.572065214668026","13 Whitethorn Avenue, Inniscarra View"
Old Quarter,Leslies Arch,27,360000,2019-12-17,Second-Hand,"51.89008441064981, -8.590014945710507","27 Leslies Arch, Old Quarter"
Carrigrohanebeg,The Willows,191,251000,2019-12-16,Second-Hand,"51.89309917070151, -8.580849757357647","191 The Willows, Carrigrohanebeg"
Carrigrohanebeg,The Willows,204,220000,2019-12-16,Second-Hand,"51.89309917070151, -8.580849757357647","204 The Willows, Carrigrohanebeg"
Carrigrohanebeg,The Willows,1,228000,2019-12-16,Second-Hand,"51.89309917070151, -8.580849757357647","1 The Willows, Carrigrohanebeg"
Old Quarter,Coopers Grange,30,399999,2019-12-16,New Build,"51.89008441064981, -8.590014945710507","30 Coopers Grange, Old Quarter"
Limeworth,Limeworth,14,675000,2019-06-14,Second-Hand,"51.88244387440602, -8.582059330369558","14 Limeworth, Limeworth"
An Caislean,An Caislean,153,255000,2019-05-31,Second-Hand,"51.88419579207018, -8.604721941977742","153 An Caislean, An Caislean"
Classis Lake,Oak Avenue,1,251000,2019-05-28,Second-Hand,"51.88586099008718, -8.62822296864587","1 Oak Avenue, Classis Lake"
Greenfield,Oldcourt,1,300000,2019-05-21,Second-Hand,"51.88072634468435, -8.611355403381312","1 Oldcourt, Greenfield"
West Village,Hillside,1,170000,2019-05-13,Second-Hand,"51.88675485217772, -8.606397553304374","1 Hillside, West Village"
The Quadrants,North East Quadrant,174,172500,2019-05-10,Second-Hand,"51.8890702782036, -8.589706799326772","174 North East Quadrant, The Quadrants"
The Stables,The Stables,12,340000,2019-05-09,Second-Hand,"51.88380436406558, -8.622683203381243","12 The Stables, The Stables"
An Caislean,Caislean Grove,101,255000,2019-05-03,Second-Hand,"51.88419579207018, -8.604721941977742","101 Caislean Grove, An Caislean"
Old Quarter,Millers Court,55,345000,2019-05-03,New Build,"51.89008441064981, -8.590014945710507","55 Millers Court, Old Quarter"
Leo Murphy Terrace,Leo Murphy Terrace,5a,196000,2019-01-18,Second-Hand,"51.888591280385164, -8.583440501534145","5a Leo Murphy Terrace, Leo Murphy Terrace"
Maglin,Maglin View,8,336000,2019-01-16,Second-Hand,"51.88135112776452, -8.59523805920491","8 Maglin View, Maglin"
Old Quarter,Leslies Arch,35,350000,2019-01-16,Second-Hand,"51.89008441064981, -8.590014945710507","35 Leslies Arch, Old Quarter"
The Maltings,Distillery Court,37,230000,2019-01-15,Second-Hand,"51.88503727921537, -8.591352822622822","37 Distillery Court, The Maltings"
Classis Lake,Mossgrove,13,428500,2019-01-11,Second-Hand,"51.88586099008718, -8.62822296864587","13 Mossgrove, Classis Lake"
Aylsbury,Aylsbury Mews,3,380000,2020-04-09,Second-Hand,"51.88284449037205, -8.620440916875388","3 Aylsbury Mews, Aylsbury"
Classis Lake,The Lodge Classes Lake,13,220000,2020-04-08,Second-Hand,"51.88586099008718, -8.62822296864587","13 The Lodge Classes Lake, Classis Lake"
Wyndham Downs,The Grove,11,275000,2020-04-07,Second-Hand,"51.88594295587414, -8.620296147557605","11 The Grove, Wyndham Downs"
Westcourt,Westcourt Heights,46,317500,2020-04-06,Second-Hand,"51.88681255417706, -8.616295628522487","46 Westcourt Heights, Westcourt"
Greenfield,Oldcourt,16,430000,2019-09-05,Second-Hand,"51.88072634468435, -8.611355403381312","16 Oldcourt, Greenfield"
Old Quarter,Coopers Grange,22,397250,2019-09-03,New Build,"51.89008441064981, -8.590014945710507","22 Coopers Grange, Old Quarter"
Classis Lake,Lisheen Fields,18,390000,2019-08-29,Second-Hand,"51.88586099008718, -8.62822296864587","18 Lisheen Fields, Classis Lake"
An Caislean,An Caislean,182,262500,2019-08-28,Second-Hand,"51.88419579207018, -8.604721941977742","182 An Caislean, An Caislean"
The Crescent,The Crescent Heathfield,2,320000,2019-08-27,New Build,"51.88974689003794, -8.592724974545812","2 The Crescent Heathfield, The Crescent"
Hazel Grove,Hazel Grove,14,192500,2019-08-21,Second-Hand,"51.88270220033945, -8.594207045710691","14 Hazel Grove, Hazel Grove"
Highfield Park,The Avenue,12,310000,2020-10-15,Second-Hand,"51.88438631124541, -8.574891410855766","12 The Avenue, Highfield Park"
Beech Park,Cranford Pines,28,170000,2020-10-12,Second-Hand,"51.884462825784524, -8.586660730369518","28 Cranford Pines, Beech Park"
Beech Park,Cranford Pines,13,335000,2020-10-09,Second-Hand,"51.884462825784524, -8.586660730369518","13 Cranford Pines, Beech Park"
Coolroe,The Green,5,280000,2020-10-01,Second-Hand,"51.885279789132504, -8.622716969745719","5 The Green, Coolroe"
Beech Park,Beech Park,69,252500,2021-02-23,Second-Hand,"51.884462825784524, -8.586660730369518","69 Beech Park, Beech Park"
Town Center,Church View,43,112500,2021-02-16,Second-Hand,"51.8878563321983, -8.600737381727024","43 Church View, Town Center"
Old Quarter,Coopers Grange,73,347000,2021-02-15,Second-Hand,"51.89008441064981, -8.590014945710507","73 Coopers Grange, Old Quarter"
The Crescent,The Crescent,54,255000,2021-02-09,Second-Hand,"51.88974689003794, -8.592724974545812","54 The Crescent, The Crescent"
Westcourt,Westcourt Heights,37,285000,2021-02-05,Second-Hand,"51.88681255417706, -8.616295628522487","37 Westcourt Heights, Westcourt"
West Village,The Meadows,9,250000,2021-02-04,Second-Hand,"51.88675485217772, -8.606397553304374","9 The Meadows, West Village"
Coolroe,The Lawn,79,320000,2018-05-31,Second-Hand,"51.885279789132504, -8.622716969745719","79 The Lawn, Coolroe"
The Cloisters,The Cloisters,41,265000,2018-05-30,Second-Hand,"51.88453436126935, -8.578108099687265","41 The Cloisters, The Cloisters"
The Crescent,The Crescent,13,126571,2018-05-29,Second-Hand,"51.88974689003794, -8.592724974545812","13 The Crescent, The Crescent"
Wyndham Downs,The Grove Wyndham Downs,22,287000,2018-05-25,Second-Hand,"51.88594295587414, -8.620296147557605","22 The Grove Wyndham Downs, Wyndham Downs"
Highfield Park,The Square,26,251000,2018-05-25,Second-Hand,"51.88438631124541, -8.574891410855766","26 The Square, Highfield Park"
An Caislean,Tara An Caislan,14,220000,2018-05-24,Second-Hand,"51.88419579207018, -8.604721941977742","14 Tara An Caislan, An Caislean"
Old Quarter,Millers Court,10,250000,2018-05-22,Second-Hand,"51.89008441064981, -8.590014945710507","10 Millers Court, Old Quarter"
Carrigrohanebeg,The Willows,201,223000,2018-05-17,Second-Hand,"51.89309917070151, -8.580849757357647","201 The Willows, Carrigrohanebeg"
Old Quarter,Millers Court,24,463000,2021-07-13,Second-Hand,"51.89008441064981, -8.590014945710507","24 Millers Court, Old Quarter"
The Cloisters,The Cloisters,63,330000,2021-07-08,Second-Hand,"51.88453436126935, -8.578108099687265","63 The Cloisters, The Cloisters"
Old Quarter,Leslies Arch,13,425000,2021-07-06,Second-Hand,"51.89008441064981, -8.590014945710507","13 Leslies Arch, Old Quarter"
Tudor Grove,Tudor Grove,8,245000,2021-07-05,Second-Hand,"51.88555121291465, -8.591538215028342","8 Tudor Grove, Tudor Grove"
Town Center,Church View,57,321000,2021-07-02,Second-Hand,"51.8878563321983, -8.600737381727024","57 Church View, Town Center"
Leecourt,Leecourt,132,231000,2021-07-01,Second-Hand,"51.8915162277775, -8.581342570851831","132 Leecourt, Leecourt"
Coolroe,The Avenue,11,425000,2018-10-17,New Build,"51.885279789132504, -8.622716969745719","11 The Avenue, Coolroe"
Powdermills,Powdermill Meadows,2,337500,2018-10-17,New Build,"51.89225015549648, -8.586096438526356","2 Powdermill Meadows, Powdermills"
Powdermills,Powdermill Meadow,3,337500,2018-10-17,New Build,"51.89225015549648, -8.586096438526356","3 Powdermill Meadow, Powdermills"
Old Quarter,Millers Court,56,345000,2018-10-16,New Build,"51.89008441064981, -8.590014945710507","56 Millers Court, Old Quarter"
Old Quarter,Millers Court,58,345000,2018-10-16,New Build,"51.89008441064981, -8.590014945710507","58 Millers Court, Old Quarter"
Old Quarter,Millers Court,9,325000,2019-12-09,Second-Hand,"51.89008441064981, -8.590014945710507","9 Millers Court, Old Quarter"
Muskerry Estate,Castle Avenue,11,255000,2019-12-05,Second-Hand,"51.885514844369936, -8.596310161258103","11 Castle Avenue, Muskerry Estate"
Old Quarter,Coopers Grange,37,400000,2019-12-05,New Build,"51.89008441064981, -8.590014945710507","37 Coopers Grange, Old Quarter"
Old Quarter,Coopers Grange,2,475000,2019-12-04,New Build,"51.89008441064981, -8.590014945710507","2 Coopers Grange, Old Quarter"
Classis Lake,The Heathers,24,277500,2019-12-04,Second-Hand,"51.88586099008718, -8.62822296864587","24 The Heathers, Classis Lake"
Westgrove,Westgrove,17,363000,2019-11-29,Second-Hand,"51.88676931020199, -8.6146432996872","17 Westgrove, Westgrove"
Beech Park,Beech Park,98,232000,2019-05-03,Second-Hand,"51.884462825784524, -8.586660730369518","98 Beech Park, Beech Park"
An Caislean,An Caislean,70,250000,2019-04-30,Second-Hand,"51.88419579207018, -8.604721941977742","70 An Caislean, An Caislean"
Coolroe,The Avenue,12,430000,2019-04-30,New Build,"51.885279789132504, -8.622716969745719","12 The Avenue, Coolroe"
Old Quarter,Coopers Grange,23,350000,2019-04-29,New Build,"51.89008441064981, -8.590014945710507","23 Coopers Grange, Old Quarter"
Beech Park,Cranford Pines,10,300000,2019-04-17,Second-Hand,"51.884462825784524, -8.586660730369518","10 Cranford Pines, Beech Park"
Old Quarter,Coopers Grange,24,349999,2019-04-17,New Build,"51.89008441064981, -8.590014945710507","24 Coopers Grange, Old Quarter"
Old Quarter,Coopers Grange,26,350000,2019-01-09,New Build,"51.89008441064981, -8.590014945710507","26 Coopers Grange, Old Quarter"
Old Quarter,Leslies Arch,131,340000,2019-01-07,Second-Hand,"51.89008441064981, -8.590014945710507","131 Leslies Arch, Old Quarter"
Old Quarter,Coopers Grange,25,350000,2019-01-04,New Build,"51.89008441064981, -8.590014945710507","25 Coopers Grange, Old Quarter"
Coolroe,Old Quarry,18,226000,2018-12-21,Second-Hand,"51.885279789132504, -8.622716969745719","18 Old Quarry, Coolroe"
Classis Lake,The Abbey,29,205000,2018-12-21,Second-Hand,"51.88586099008718, -8.62822296864587","29 The Abbey, Classis Lake"
Old Quarter,Leslies Arch,33,412800,2018-12-21,New Build,"51.89008441064981, -8.590014945710507","33 Leslies Arch, Old Quarter"
Highfield Park,The Square,30,250000,2018-12-21,Second-Hand,"51.88438631124541, -8.574891410855766","30 The Square, Highfield Park"
The Cloisters,The Cloisters,66,280000,2020-04-06,Second-Hand,"51.88453436126935, -8.578108099687265","66 The Cloisters, The Cloisters"
Town Center,Carrigdene,8,290000,2020-04-02,Second-Hand,"51.8878563321983, -8.600737381727024","8 Carrigdene, Town Center"
Muskerry Estate,Pine Walk,130,270000,2020-03-31,Second-Hand,"51.885514844369936, -8.596310161258103","130 Pine Walk, Muskerry Estate"
Maglin,Maglin Green,3,479999,2020-03-30,New Build,"51.88135112776452, -8.59523805920491","3 Maglin Green, Maglin"
Rosewood,Rosewood,166,250000,2020-03-26,Second-Hand,"51.88865181082447, -8.575978970851866","166 Rosewood, Rosewood"
Carrigrohanebeg,The Willows,208,256000,2019-08-16,Second-Hand,"51.89309917070151, -8.580849757357647","208 The Willows, Carrigrohanebeg"
The Cloisters,The Cloisters,102,287000,2019-08-14,Second-Hand,"51.88453436126935, -8.578108099687265","102 The Cloisters, The Cloisters"
Aylsbury,Aylsbury Lawn,4,360000,2019-08-12,Second-Hand,"51.88284449037205, -8.620440916875388","4 Aylsbury Lawn, Aylsbury"
Greenfield,Oldcourt,94,370000,2019-08-12,Second-Hand,"51.88072634468435, -8.611355403381312","94 Oldcourt, Greenfield"
Station Cross,Station Cross,,300000,2019-08-12,Second-Hand,"51.88366424957323, -8.588997728522568"," Station Cross, Station Cross"
An Caislean,An Caislean View,147,286000,2020-10-01,Second-Hand,"51.88419579207018, -8.604721941977742","147 An Caislean View, An Caislean"
The Maltings,Granary Court The Maltings,28,210000,2020-09-28,Second-Hand,"51.88503727921537, -8.591352822622822","28 Granary Court The Maltings, The Maltings"
Town Center,Church View,21,280000,2020-09-24,Second-Hand,"51.8878563321983, -8.600737381727024","21 Church View, Town Center"
Innishmore,Innishmore Lawn,5,175000,2020-09-18,Second-Hand,"51.88897474404985, -8.608958999892096","5 Innishmore Lawn, Innishmore"
Daffodil Fields,Daffodil Fields,29,430000,2020-09-10,Second-Hand,"51.89114262893351, -8.573402430369397","29 Daffodil Fields, Daffodil Fields"
Old Quarter,Leslies Arch,114,280000,2021-02-04,Second-Hand,"51.89008441064981, -8.590014945710507","114 Leslies Arch, Old Quarter"
Town Center,Time Square,4,180000,2021-02-04,Second-Hand,"51.8878563321983, -8.600737381727024","4 Time Square, Town Center"
An Caislean,An Caislean Way,118,270000,2021-01-28,Second-Hand,"51.88419579207018, -8.604721941977742","118 An Caislean Way, An Caislean"
Maglin,Glincool Gardens,12,305000,2021-01-26,Second-Hand,"51.88135112776452, -8.59523805920491","12 Glincool Gardens, Maglin"
Old Quarter,Waltham Abbey,28,344900,2021-01-21,Second-Hand,"51.89008441064981, -8.590014945710507","28 Waltham Abbey, Old Quarter"
Rosewood,Rosewood Estate,202,306000,2021-01-20,Second-Hand,"51.88865181082447, -8.575978970851866","202 Rosewood Estate, Rosewood"
Old Quarter,Millers Court,66,385000,2018-05-16,New Build,"51.89008441064981, -8.590014945710507","66 Millers Court, Old Quarter"
Old Quarter,Millers Court,15,258000,2018-05-14,Second-Hand,"51.89008441064981, -8.590014945710507","15 Millers Court, Old Quarter"
Parknamore,Parknamore,11,280000,2018-04-30,Second-Hand,"51.88458744794133, -8.609309161051812","11 Parknamore, Parknamore"
Powdermills,Mill Range,15,230000,2018-04-26,Second-Hand,"51.89225015549648, -8.586096438526356","15 Mill Range, Powdermills"
Maglin,Glincool Crescent,15,295000,2018-04-23,Second-Hand,"51.88135112776452, -8.59523805920491","15 Glincool Crescent, Maglin"
An Caislean,Newgrange,8,222000,2021-06-25,Second-Hand,"51.88419579207018, -8.604721941977742","8 Newgrange, An Caislean"
Classis Lake,The Brambles,7,400000,2021-06-16,Second-Hand,"51.88586099008718, -8.62822296864587","7 The Brambles, Classis Lake"
Coolroe,Willowgrove,48,340000,2021-06-11,Second-Hand,"51.885279789132504, -8.622716969745719","48 Willowgrove, Coolroe"
Greenfields,Woodberry,11,755000,2021-06-04,Second-Hand,"51.87941701969475, -8.620193493581136","11 Woodberry, Greenfields"
Old Quarter,Coopers Grange,69,340000,2021-06-03,Second-Hand,"51.89008441064981, -8.590014945710507","69 Coopers Grange, Old Quarter"
Classis Lake,The Cedars,29,357000,2018-10-15,Second-Hand,"51.88586099008718, -8.62822296864587","29 The Cedars, Classis Lake"
Carrigrohane,Bridgewater,16,435000,2018-10-11,Second-Hand,"51.89118108080445, -8.570433423222292","16 Bridgewater, Carrigrohane"
Old Quarter,Millers Court,108,460000,2018-09-27,New Build,"51.89008441064981, -8.590014945710507","108 Millers Court, Old Quarter"
Maglin,Glencool Villas,11,304000,2018-09-27,Second-Hand,"51.88135112776452, -8.59523805920491","11 Glencool Villas, Maglin"
